상호,운영시간,업종,도로명주소,지번주소,전화번호,위도,경도
시장 원조 국밥,(장날 전~ 장날 당일)07:00~19:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 8-11,충청남도 천안시 서북구 성환읍 성환리 449-1,,36.9190016,127.1303101
란경다방,10:00~22:00,식당/음식,충청남도 천안시 서북구 성환읍 성환12길 11,충청남도 천안시 서북구 성환읍 성환리 449-512,041-588-3555,36.9175954,127.1292011
다모,(*장날만 영업)10:00~18:00,농산물/청과,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-352,,36.917989,127.1299656
다만나,06:00~23:00,식당/음식,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-352,041-581-9013,36.9179929,127.1301207
공실47,공실,기타,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-352,,36.9179929,127.1301207
뉴월드파크장,00:00~24:00,생활서비스,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-352,041-582-2653,36.9179929,127.1301207
라이브노래방,00:00~24:00,기타,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-352,,36.9179929,127.1301207
용천대중탕,05:00~18:00,생활서비스,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-353,041-581-1734,36.9179929,127.1301207
원조순대국세번째집,06:00~21:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 8-11,충청남도 천안시 서북구 성환읍 성환리 449-1,,36.9189058,127.1303907
할매국밥,07:00~18:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 8-11,충청남도 천안시 서북구 성환읍 성환리 449-1,041-581-6207,36.9189058,127.1304001
즉석두부,(*장날만 영업)10:00~19:00,마트/식품,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-352,,36.9179457,127.130092
하늘담뱃잎,10:00~20:00,기타,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-352,,36.9179714,127.1301145
