단지명,회사명,공장대표주소(도로명),전화번호
천안제5일반산업단지,(주)레이크머티리얼즈,충청남도 천안시 동남구 성남면 5산단4로 41,044-414-9451
천안풍세일반산업단지,(주)엔켐,충청남도 천안시 동남구 풍세면 용정리 984번지 외 1필지,043-653-0910
천안풍세일반산업단지,(주)케미콘,충청남도 천안시 동남구 풍세면 풍세산단로 161,043-532-6700
천안제4일반산업단지,충청에너지서비스(주),충청남도 천안시 서북구 직산읍 4산단1길 10,043-261-4194
천안백석농공단지,(주)씨엔티드림,충청남도 천안시 서북구 백석공단3길 60 (백석동),043-260-2334
천안제3일반산업단지,(주)아이비젼웍스,"충청남도 천안시 서북구 백석공단1로 10, B동 801호, B동 711호, B동 712호(백석동, 천안 미래에이스하이테크시티)",042-933-2490
천안제5일반산업단지,(주)라컴텍,충청남도 천안시 동남구 수신면 5산단4로 85,042-932-8761
천안제3일반산업단지,(주)인환경디자인연구소,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 501호 (백석동)",042-488-8137
천안백석농공단지,(주)셀아이콘랩,충청남도 천안시 서북구 백석공단1로 58 (백석동),042-335-7942
천안풍세일반산업단지,대창화학공업(주),충청남도 천안시 동남구 풍세면 보성리 0-0번지 풍세일반산업단지 A3-1,042-273-8851
천안마정일반산업단지,(주)비케이솔루텍,충청남도 천안시 서북구 직산읍 금곡로 52-11,041-910-6111
천안제3일반산업단지,주식회사 솔디아,충청남도 천안시 서북구 백석공단1로 10 (백석동) M동 3층 35호,041-909-8661
천안제3일반산업단지,주식회사 에이아이리더,"충청남도 천안시 서북구 백석공단1로 10, 4층 M437호(백석동, 천안 미래에이스하이테크시티)",041-909-7778
천안제3일반산업단지,(주)한울엘리베이터,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 903,904호 (백석동)",041-909-1482
천안제4일반산업단지,(주)한울이앤씨,충청남도 천안시 서북구 직산읍 2공단5로 115 1동 3호,041-909-1482
천안제2일반산업단지,주식회사 선명,충청남도 천안시 서북구 2공단8길 45 (업성동) 3층,041-908-7499
천안제3일반산업단지,주식회사 티씨아이,"충청남도 천안시 서북구 백석공단1로 10, A동 814호(백석동, 천안 미래에이스하이테크시티)",041-906-8667
천안제3일반산업단지,(주)이룸솔루션,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 901호 (백석동)",041-906-5941
천안제3일반산업단지,(주)다올,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 907호 (백석동)",041-906-5919
천안제3일반산업단지,씨엔디자인,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 906호 (백석동)",041-906-5905
천안백석농공단지,(주)케이엔,충청남도 천안시 서북구 백석공단5길 21 (백석동),041-906-5865
천안제3일반산업단지,(주)씨엔에이치프라임,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 801호 (백석동)",041-906-5801
천안제3일반산업단지,삼익에프에이(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 701호 (백석동)",041-906-5777
천안제3일반산업단지,쇼와덴키코리아 주식회사,"충청남도 천안시 서북구 백석공단1로 10, 미래에이스하이테크시티 A동 710호 (백석동)",041-906-5710
천안제3일반산업단지,(주)케이엠에스엔지니어링,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 704, 705호 (백석동)",041-906-5704
천안제3일반산업단지,(주)이노본,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 606,608,609,610,611호 (백석동)",041-906-5656
천안제3일반산업단지,코바시스(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 612,613호 (백석동)",041-906-5613
천안제3일반산업단지,(주)엘앤피,"충청남도 천안시 서북구 백석공단1로 10, 6층 에이610호(백석동, 천안 미래에이스하이테크시티)",041-906-5588
천안제3일반산업단지,스크린승마(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 304호 (백석동)",041-906-5550
천안제3일반산업단지,(주)이노링크,"충청남도 천안시 서북구 백석공단1로 10, B동 507호(백석동, 천안 미래에이스하이테크시티)",041-906-5534
천안제3일반산업단지,주식회사 엘티,"충청남도 천안시 서북구 백석공단1로 10, MB동 122호(백석동, 천안 미래에이스하이테크시티)",041-906-5505
천안제3일반산업단지,(주)시스콘엔지니어링,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 507호 (백석동)",041-906-5490
천안제3일반산업단지,(주)에스아이피,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 1005호 (백석동)",041-906-5431
천안제3일반산업단지,(주)태인테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 306호 (백석동)",041-906-5361
천안제3일반산업단지,삼익에프앤티(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 305,307호 (백석동)",041-906-5353
천안제3일반산업단지,디토 주식회사,"충청남도 천안시 서북구 백석공단1로 10, A동 609호(백석동, 천안 미래에이스하이테크시티)",041-906-5100
천안제3일반산업단지,주식회사훈랩,충청남도 천안시 서북구 백석공단1로 10 (백석동),041-906-5090
천안제3일반산업단지,주식회사 유씨에스,"충청남도 천안시 서북구 백석공단1로 10, M동 B103호, B104호(백석동, 천안 미래에이스하이테크시티)",041-906-5047
천안제3일반산업단지,재은정밀,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B120호 (백석동)",041-906-5030
천안제3일반산업단지,이프텍 주식회사,"충청남도 천안시 서북구 백석공단1로 10, M동 338호(백석동, 천안 미래에이스하이테크시티)",041-906-5000
천안산업기술일반산업단지,(주)안마이크론시스템,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2202호,2203호 (천안밸리)",041-904-9400
천안풍세일반산업단지,(주)덕산테코피아,충청남도 천안시 동남구 풍세면 풍세산단2로 39,041-903-9700
천안제3일반산업단지,이즈메카유럽세미컨덕터 에스에이,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 511,512호 (백석동)",041-903-6214
천안제3일반산업단지,이즈메카유럽세미컨덕터에스에이,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 510호 (백석동)",041-903-6214
천안제3일반산업단지,(주)프로맥스,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 315호 (백석동)",041-903-1080
천안풍세일반산업단지,아이에스켐,충청남도 천안시 동남구 풍세면 풍세산단로 168,041-902-9500
천안제3일반산업단지,코바테크(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 327호 (백석동)",041-902-8636
천안제3일반산업단지,(주)헤이아트,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 320호 (백석동)",041-902-7700
천안제2일반산업단지,주식회사 글루가,충청남도 천안시 서북구 2공단8길 45 (업성동),041-902-5661
천안제3일반산업단지,천안아산아크릴명판,"충청남도 천안시 서북구 백석공단1로 10, M동 B119호(백석동, 천안 미래에이스하이테크시티)",041-902-2132
천안제3일반산업단지,아드반테스트코리아(주),충청남도 천안시 서북구 3공단6로 140 (차암동) 외 1필지,041-901-3900
천안제2일반산업단지,주식회사 휴넷플러스,"충청남도 천안시 서북구 2공단3로 15-1, 성성동 493-4 (성성동)",041-900-7500
천안산업기술일반산업단지,(주)씨케이엘,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 1301호 (직산읍, 천안밸리)",041-900-3015
천안제4일반산업단지,위폼스 주식회사,충청남도 천안시 서북구 직산읍 4산단2길 19,041-900-1101
천안외국인투자지역,(주)히타치에너지코리아,충청남도 천안시 서북구 3공단4로 51 (성성동),041-900-0424
천안풍세일반산업단지,피앤씨텍(주),충청남도 천안시 동남구 풍세면 풍세산단로 161,041-858-1160
천안직산농공단지,(주)건영 비앤에프,충청남도 천안시 서북구 직산읍 부송1길 62,041-635-0561
천안제2일반산업단지,주식회사 신세계푸드 천안공장,충청남도 천안시 서북구 2공단3로 101 (업성동),041-629-9150
천안외국인투자지역,에어프로덕츠코리아(주),충청남도 천안시서북구 차암동 406번지,041-629-8414
천안외국인투자지역,스테코(주) 2공장,충청남도 천안시 서북구 3공단2로 13 (백석동),041-629-7020
천안외국인투자지역,스테코(주),충청남도 천안시서북구 백석동 741번지,041-629-7007
천안제3일반산업단지,동아제약(주) 천안공장,충청남도 천안시 서북구 백석공단1로 200-23 (차암동),041-629-6513
천안백석농공단지,(주)디바이스이엔지,충청남도 천안시서북구 백석동 555-37번지 백석농공단지,041-629-5209
천안직산농공단지,(주)유광,충청남도 천안시 서북구 직산읍 부송1길 39,041-629-2800
천안제2일반산업단지,상영,충청남도 천안시 서북구 2공단6길 26 (차암동),041-622-9979
천안제3일반산업단지,(주)신성엔비리서치,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 328,329,330호 (백석동)",041-622-9937
천안천흥일반산업단지,세코툴스코리아(주),충청남도 천안시서북구 성거읍 천흥리 341-3번지,041-622-9785
천안5산단외국인투자지역,(주)엠에스씨테크,충청남도 천안시 동남구 수신면 5산단4로 110,041-622-9679
천안백석농공단지,비케이이엔티(주),충청남도 천안시 서북구 백석공단7로 16 (백석동),041-622-9612
천안백석농공단지,에이원테크놀로지(주),충청남도 천안시 서북구 백석공단2길 53 (백석동),041-622-8600
천안제3일반산업단지,주식회사 블루마마,"충청남도 천안시 서북구 백석공단1로 10, 엠동 428,429,430,431호(백석동, 천안 미래에이스하이테크시티)",041-622-8560
천안천흥일반산업단지,태성에컴스(주)천흥공장,충청남도 천안시 서북구 성거읍 천흥8길 67-11 외 3필지,041-622-8389
천안풍세일반산업단지,(주)메티스,충청남도 천안시 동남구 풍세면 용정리 990번지,041-622-8081
천안산업기술일반산업단지,(주)케이에스비동서,"충청남도 천안시 서북구 직산읍 직산로 136, 205호(충남테크노파크 이차전지기술센터)",041-622-7100
천안외국인투자지역,에드워드코리아(주),"충청남도 천안시 서북구 3공단1로 96 (차암동, 성원에드워드(주))",041-622-7070
천안제3일반산업단지,에드워드 코리아(주),충청남도 천안시 서북구 3공단6로 80 (차암동),041-622-7070
천안천흥일반산업단지,창광실업(주),충청남도 천안시 서북구 성거읍 천흥8길 19 (창광실업(주)),041-622-7050
천안천흥일반산업단지,(주)유엔아이,충청남도 천안시서북구 성거읍 천흥리 316-8번지,041-622-6677
천안풍세일반산업단지,웰메이트(주),충청남도 천안시 동남구 풍세면 풍세산단로 215,041-622-6640
천안제3일반산업단지,(주)구비테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 912,913호 (백석동)",041-622-6602
천안백석농공단지,주식회사 디케이엘엔에이치,"충청남도 천안시 서북구 백석공단4길 15, 1동 2층 (백석동)",041-622-6023
천안천흥일반산업단지,해태제과식품(주),충청남도 천안시 서북구 성거읍 천흥8길 67-26,041-622-5805
천안백석농공단지,미래메디엔텍(주),충청남도 천안시 서북구 백석공단5길 22 (백석동),041-622-5720
천안제3일반산업단지,케이블코리아(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 602호 (백석동)",041-622-5100
천안천흥일반산업단지,대원케미칼(주),충청남도 천안시 서북구 성거읍 천흥8길 67-34,041-622-3765
천안천흥일반산업단지,(주)삼보제이케이,충청남도 천안시서북구 성거읍 천흥리 316-9번지,041-622-3706
천안천흥일반산업단지,(주)유진에스테크,충청남도 천안시서북구 성거읍 천흥리 321-3번지,041-622-3356
천안제3일반산업단지,메카베이스,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 513,606호 (백석동)",041-622-2188
천안산업기술일반산업단지,(주)마이크로티에스,충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크 생산관 1201호,041-622-2010
천안5산단외국인투자지역,아마쎌코리아(유),충청남도 천안시 동남구 성남면 5산단1로 112 외 1필지,041-622-1813
천안동면농공단지,(주)포나후렉스,"충청남도 천안시 동남구 동면 충절로 2294-56, 동면농공단지",041-622-1201
천안제2일반산업단지,주식회사 글로벌소재,"충청남도 천안시 서북구 2공단3로 15-1, (성성동493-4)에이동 201호 (성성동)",041-622-1136
천안백석농공단지,(주)하이라인,충청남도 천안시서북구 백석동 555-31번지,041-622-0878
천안제5일반산업단지,(주)아인스,충청남도 천안시 동남구 성남면 대화리 353번지,041-622-0868
천안제2일반산업단지,주식회사 바이오360,"충청남도 천안시 서북구 2공단2로 102, 1동 지하1층(차암동, (주)피토)",041-622-0360
천안제2일반산업단지,주식회사 바이오360 ,"충청남도 천안시 서북구 2공단8길 45, 업성동623-4 (업성동)",041-622-0360
천안산업기술일반산업단지,아오아비,"충청남도 천안시 서북구 직산읍 직산로 136, 3403호(충남테크노파크 천안밸리 번영관)",041-622-0277
천안제2일반산업단지,E.T.S,"충청남도 천안시 서북구 2공단2로 95, 아파트형공장 507호 (차암동, 천안테크노타운)",041-621-9389
천안백석농공단지,주식회사 우성전기,충청남도 천안시 서북구 백석공단3길 42 (백석동),041-621-9298
천안풍세일반산업단지,(주)메가센,충청남도 천안시 동남구 풍세면 보성리 706번지,041-621-9030
천안제3일반산업단지,(재)가경고고학연구소,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 909,910,911,912,913,914호 (백석동)",041-621-8772
천안백석농공단지,태현테크놀로지,"충청남도 천안시 서북구 백석공단6길 7 (백석동, (주)태현테크놀로지)",041-621-8212
천안제2일반산업단지,(주)디와이엠솔루션,충청남도 천안시 서북구 2공단8길 50 (업성동),041-621-6250
천안제2일반산업단지,주식회사 디와이엠 솔루션(2),충청남도 천안시 서북구 2공단7길 33 (차암동),041-621-6250
천안제2일반산업단지,주식회사 인팩,"충청남도 천안시 서북구 2공단6길 47 (업성동, (주)인팩)",041-621-6191
천안제2일반산업단지,캠코아(주)천안지점,"충청남도 천안시 서북구 2공단1로 147(차암동, 한양소재(주))",041-621-5731
천안제2일반산업단지,한양소재 주식회사 ,"충청남도 천안시 서북구 2공단1로 147 (차암동, 한양소재(주))",041-621-5731
천안제4일반산업단지,시스테크(주),충청남도 천안시서북구 직산읍 모시리 303번지,041-621-5643
천안제2일반산업단지,주식회사 대한,"충청남도 천안시 서북구 2공단5로 8 (업성동, (주)대한)",041-621-5311
천안제2일반산업단지,디아이텍 주식회사,충청남도 천안시 서북구 2공단3로 93 (업성동),041-621-5112
천안제4일반산업단지,(주)로스윈,충청남도 천안시서북구 직산읍 모시리 280번지,041-621-4450
천안제2일반산업단지,주식회사 크라운,"충청남도 천안시 서북구 2공단2로 69 (차암동, (주)크라운)",041-621-4422
천안제2일반산업단지,롯데푸드 주식회사,충청남도 천안시 서북구 2공단4로 19 (성성동),041-621-4161
천안제4일반산업단지,(주)포인트택,충청남도 천안시 서북구 직산읍 4산단3로 113,041-621-3640
천안백석농공단지,상상기술(주),"충청남도 천안시 서북구 백석공단4길 12, 1동2층 (백석동)",041-621-3587
천안풍세일반산업단지,호산스틸(주),충청남도 천안시 동남구 풍세면 보성리 717번지 (풍세일반산업단지 A16-4),041-621-3393
천안제2일반산업단지,(주)유진정공,충청남도 천안시 서북구 2공단1로 131 (차암동),041-621-3355
천안제2일반산업단지,(주)MS가스,"충청남도 천안시 서북구 2공단7길 61 (업성동, (주)MS가스)",041-621-3322
천안제2일반산업단지,(주)혜인,"충청남도 천안시 서북구 2공단5로 23 (차암동, (주)혜인)",041-621-3185
천안백석농공단지,(주)정광,충청남도 천안시 서북구 백석공단1로 69 (백석동),041-621-2886
천안제2일반산업단지,일진산업 주식회사,"충청남도 천안시 서북구 2공단6길 7 (차암동, 일진산업(주))",041-621-2462
천안제2일반산업단지,일진산업 주식회사,충청남도 천안시 서북구 2공단7길 15 (차암동),041-621-2462
천안제2일반산업단지,일진산업 주식회사  ,충청남도 천안시 서북구 2공단1로 148 (차암동),041-621-2462
천안제2일반산업단지,주식회사 성원엔지니어링,충청남도 천안시 서북구 2공단7길 50 (차암동),041-621-2400
천안풍세일반산업단지,하이테크필라(주),충청남도 천안시 동남구 풍세면 용정리 1026번지 외 1필지,041-621-2248
천안산업기술일반산업단지,(주)포톤,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 1305,1306",041-621-2221
천안산업기술일반산업단지,주식회사 포톤,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 3201호",041-621-2221
천안제4일반산업단지,(주)서광전자,충청남도 천안시서북구 직산읍 모시리 269번지,041-621-2100
천안백석농공단지,아시아테크,충청남도 천안시서북구 백석동 555-31번지,041-621-1938
천안제2일반산업단지,동양방식 주식회사,"충청남도 천안시 서북구 2공단5로 64 (차암동, 동양방식(주))",041-621-1761
천안제3일반산업단지,주식회사 트루텍,충청남도 천안시 서북구 3공단6로 86-25 (차암동),041-621-1741
천안제3일반산업단지,동아에스티(주),충청남도 천안시 서북구 백석공단1로 200-23 (차암동),041-621-1500
천안직산농공단지,(주)워텍,충청남도 천안시서북구 직산읍 부송리 72-14 번지 1동 2호,041-621-0801
천안외국인투자지역,한부엔지니어링(주),충청남도 천안시서북구 백석동 734번지,041-621-0543
천안풍세일반산업단지,(주)켐코정밀,충청남도 천안시 동남구 풍세면 풍세산단로 118,041-621-0388
천안풍세일반산업단지,(주)켐코정밀,충청남도 천안시 동남구 풍세면 용정리 1013번지,041-621-0388
천안외국인투자지역,에어리퀴드코리아(주),충청남도 천안시 서북구 3공단1로 88 (차암동) 에어리퀴드코리아(주),041-621-0102
천안외국인투자지역,한국첼리(주),충청남도 천안시서북구 백석동 713번지,041-621-0052
천안제2일반산업단지,주식회사 에치와이,"충청남도 천안시 서북구 2공단5로 35 (차암동, (주)한국야쿠르트)",041-621-0050
천안외국인투자지역,(주)코디엠,"충청남도 천안시 서북구 백석공단2길 62 (백석동, 오에프티(주)천안공장)",041-620-9011
천안5산단외국인투자지역,한국씨씨엘레이블(주),충청남도 천안시 동남구 성남면 5산단1로 150,041-620-8800
천안제4일반산업단지,세메스(주),충청남도 천안시 서북구 직산읍 4산단5길 77 외 1필지,041-620-8000
천안목천농공단지,연합정밀(주),"충청남도 천안시 동남구 목천읍 학수소사길 219-27, 외 16필지",041-620-3202
천안제4일반산업단지,주식회사 연이비앤티,충청남도 천안시 서북구 직산읍 4산단6길 77,041-620-1500
천안외국인투자지역,한국유미코아 유한책임회사 제3공장,충청남도 천안시 서북구 3공단2로 27(백석동) 외 2필지,041-620-0246
천안외국인투자지역,한국유미코아유한책임회사,"충청남도 천안시 서북구 3공단2로 71 (차암동, 한국유미코아(유))",041-620-0246
천안외국인투자지역,한국유미코아유한책임회사,"충청남도 천안시 서북구 3공단2로 83 (차암동, (주)드림스틸공장)",041-620-0246
천안제3일반산업단지,한국유미코아유한책임회사,충청남도 천안시 서북구 3공단6로 58-9 (차암동),041-620-0200
천안제3일반산업단지,한국유미코아유한책임회사,충청남도 천안시 서북구 백석공단1로 199 (차암동),041-620-0200
천안제2일반산업단지,현대모비스㈜ ABS천안공장,"충청남도 천안시 서북구 2공단1로 168 (차암동, 현대모비스ABS/Airbag공장)",041-599-9927
천안제2일반산업단지,현대모비스㈜ IP천안공장,"충청남도 천안시 서북구 2공단2로 105 (차암동, 현대모비스(주))",041-599-9812
천안5산단외국인투자지역,에어리퀴드솔루션즈코리아(유) 제2공장,충청남도 천안시 동남구 성남면 대화리 328번지,041-599-9000
천안백석농공단지,(주)대광월드,충청남도 천안시 서북구 백석공단5길 25 (백석동),041-592-5885
천안풍세일반산업단지,케이피엑스케미칼(주),충청남도 천안시 동남구 풍세면 풍세산단3로 70,041-590-5841
천안제4일반산업단지,(주)아모에코시스템즈,충청남도 천안시 서북구 직산읍 4산단7로 17-8,041-590-5714
천안제4일반산업단지,(주)아모센스,충청남도 천안시 서북구 직산읍 4산단5길 90,041-590-5710
