업종명,기업체명,소재지,주생산품,전화번호
금속가공제품(기계 및 가구제외),퍼스트코아,충청남도 천안시 서북구 직산읍 금곡로 52-11,"메탈마스크, 지그",
자동차 및 트레일러,풍성기업,충청남도 천안시 서북구 직산읍 마정1길 48,자동차부품,
식료품,현대사료㈜,충청남도 천안시 동남구 용수골길 23 (신방동),배합사료,041-563-8200
금속가공제품(기계 및 가구제외),홍강기업,충청남도 천안시 서북구 직산읍 금곡로 46,미용기구제작,
금속가공제품(기계 및 가구제외),수덕산업,충청남도 천안시 서북구 성환읍 복모리 280 외 1필지,코팅제룸(무정전pc판),
"펄프,종이 및 종이제품",(사)우리들행복나눔장애인복지회(화장지사업단),충청남도 천안시 서북구 성환읍 매주2길 3,화장지,041-587-5771
고무제품 및 플라스틱제품,(사)한마음장애인복지회,"충청남도 천안시 동남구 성남면 석곡3길 60, (2,3동)","수배전반, 제어장치, CCTV, LED",041-552-1460
"펄프,종이 및 종이제품",(사)한마음장애인복지회 한마음사업단,충청남도 천안시 동남구 수신면 발산1길 171,헤드레스트커버,041-583-8815
비금속광물제,(유)대성화이버,충청남도 천안시 서북구 직산읍 성진로 184,"동력전달장치, 단열재",041-581-0798
"펄프,종이 및 종이제품",(유)선양지연지점,충청남도 천안시 동남구 광덕면 세종로 4186,문구용지,041-559-6056
"펄프,종이 및 종이제품",(유)선양지연지점,충청남도 천안시 동남구 광덕면 세종로 4186,문구용지,041-559-6056
"펄프,종이 및 종이제품",(유)성진,충청남도 천안시 동남구 광덕면 세종로 4186,문구용지,041-559-6217
"펄프,종이 및 종이제품",(유)성진,충청남도 천안시 동남구 광덕면 세종로 4186,문구용지,041-559-6217
화학물질 및 화학제품:의약품제외,(유)엔비오그린,충청남도 천안시 동남구 병천면 개목고개길 41,미생물,
화학물질 및 화학제품:의약품제외,(유)피피지코리아,충청남도 천안시 동남구 풍세면 용두4길 60,자동차용 도료,041-560-6030
화학물질 및 화학제품:의약품제외,(유)피피지코리아,충청남도 천안시 동남구 풍세면 용두4길 60,자동차용 도료,041-560-6032
고무제품 및 플라스틱제품,(유)한국타코닉,충청남도 천안시 서북구 백석공단2길 80 (백석동),산업용 PIFE 외 인쇄회로판,041-523-1858
고무제품 및 플라스틱제품,(유)한국타코닉 제1공장 ,"충청남도 천안시 서북구 3공단2로 12(백석동, (유)한국타코닉) 외 1필지",산업용 테프론 데이프,041-522-1858
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(유)한국타코닉 제2공장 ,"충청남도 천안시 서북구 백석공단2길 80 (백석동, (유)한국타코닉)",산업용 PIFE 외 인쇄회로판,041-523-1858
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(유)한국타코닉(제3공장),충청남도 천안시 서북구 3공단2로 33 (백석동),"적층판, 산업용 테프론 제품",041-567-1858
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(유)한국타코닉(제3공장),"충청남도 천안시 서북구 3공단2로 33 (백석동, (유)한국타코닉)","적층판, 산업용 테프론 제품",041-522-1858
기타기계 및 장비,(주) 동양엘리베이터,충청남도 천안시 서북구 성환읍 신방로 142-15 외 2필지,엘리베이터부품(프레임),
기타기계 및 장비,(주) 동양엘리베이터,충청남도 천안시 서북구 성환읍 신방로 142-15 외 2필지,엘리베이터부품(프레임),
식료품,(주) 두원식품,충청남도 천안시 서북구 성환읍 대홍3길 58,조미식품(분말조미료),041-581-9020
기타기계 및 장비,(주) 수도산업기계,충청남도 천안시 동남구 병천면 봉항로 529,에너지절감형산업설비/냉동제습기,041-621-2638
기타기계 및 장비,(주) 수도산업기계,충청남도 천안시 동남구 병천면 봉항로 529,에너지절감형산업설비/냉동제습기,
자동차 및 트레일러,(주) 우진하이텍,충청남도 천안시 동남구 성남면 용원리 245 외 3필지,"특장차,소방자동차",041-556-0118
기타기계 및 장비,(주) 자이로,충청남도 천안시 동남구 성남면 성심원길 17-2,액체펌프,041-622-7005
"의료, 정밀, 광학기기 및 시계",(주) 자이로,충청남도 천안시 동남구 성남면 성심원길 17-2,액체펌프,041-622-7005
전기장비,(주) 파란자동화,충청남도 천안시 동남구 청수3길 6 (청수동),자동제어반,041-554-8307
식료품,(주) 팜스토리 서울사료 천안,"충청남도 천안시 서북구 천일고2길 141 (신당동, (주)서울사료)",동물용 사료 및 조제식품 제조업,041-583-1981
전기장비,(주)ABB코리아,충청남도 천안시 서북구 3공단4로 49 (성성동),자동제어장치,041-529-2135
기타기계 및 장비,(주)HMT,충청남도 천안시 서북구 입장면 내유리1길 31-9 ((주)두선정밀) 외 5필지,자동차부품 자동생산기,041-583-0898
화학물질 및 화학제품:의약품제외,(주)MS가스,"충청남도 천안시 서북구 2공단7길 61 (업성동, (주)MS가스)",혼합가스,041-621-3322
식료품,(주)SB식품,충청남도 천안시서북구 성환읍 왕림리 236-24번지 외 1필지 외 1필지,"사과농축액,배농축액",
의료용물질 및 의약품,(주)가람지기,충청남도 천안시 서북구 성환읍 연암율금로 171 (가람지기),종이식품용기,041-581-0976
고무제품 및 플라스틱제품,(주)가야,충청남도 천안시 서북구 백석공단1로 50 (백석동),전자부품용 필름,
식료품,(주)가온에프앤비,충청남도 천안시 동남구 동면 화복로 292,"과일 및 약초 액기스, 땅콩카라멜향분말",
기타기계 및 장비,(주)가온텍,충청남도 천안시 서북구 성환읍 왕지1길 142 (일반공장) 외 2필지,반도체 부품,041-582-5701
금속가공제품(기계 및 가구제외),(주)거산케미칼,충청남도 천안시 서북구 성거읍 봉주로 303-1,"알카리착색품,인산피막품,니켈도금품 등",041-563-1705
"펄프,종이 및 종이제품",(주)거상펄프산업천안공장,충청남도 천안시서북구 직산읍 신갈리 89-6번지,화장지,041-521-5471
금속가공제품(기계 및 가구제외),(주)거성스틸,충청남도 천안시 동남구 동면 충절로 1951,"금속절단가공품, 금속용접가공품",
음료,(주)건영 비앤에프,충청남도 천안시 서북구 직산읍 부송1길 62,"석류즙, 레드비트즙",041-635-0561
"펄프,종이 및 종이제품",(주)건우인터팩,충청남도 천안시 서북구 성거읍 모전1길 248-30,판지상자 및 용기,041-582-7300
전기장비,(주)건화서비스,충청남도 천안시 서북구 신갈1길 71 -12(직산읍),"Recloser, ALTS(한전배전선로용차단기) 및 전기회로판넬",041-552-1448
전기장비,(주)건화서비스,충청남도 천안시서북구 백석동 555-31번지,보호기기,041-552-1448
"펄프,종이 및 종이제품",(주)견지포장,충청남도 천안시 서북구 직산읍 부송1길 49 ((주)삼즈쎌텍),종이박스,041-584-5001
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)경도전자,충청남도 천안시 서북구 성환읍 왕림길 209 외 1필지,"다이오드, 트랜지스터",041-581-9742
전기장비,(주)경민에프에이,충청남도 천안시 서북구 직산읍 금곡로 115-24,"세정기,본딩기,2차전지장비제조",041-587-5425
금속가공제품(기계 및 가구제외),(주)경성인더스트리,충청남도 천안시 서북구 직산읍 군수1길 112-32 외 1필지,절삭가공부품,041-581-0701
"의복,의복액세서리 및 모피제품",(주)경신엘에스,충청남도 천안시서북구 두정동 394-3번지,"호텔 린넨(침대커버, 이불시트 등)",041-621-6789
전기장비,(주)경신전선,충청남도 천안시 서북구 입장면 연곡길 567,절연선케이블,041-539-3600
고무제품 및 플라스틱제품,(주)경인,충청남도 천안시 서북구 직산읍 성진로 309-2,"PE용기,PP용기",041-521-5852
기타기계 및 장비,(주)경일산업,충청남도 천안시 동남구 풍세면 한우물3길 19,밸브,041-566-8485
화학물질 및 화학제품:의약품제외,(주)경진 (2공장),충청남도 천안시 서북구 2공단5로 97 -5(차암동),PET Chip,
기타기계 및 장비,(주)경진이레,충청남도 천안시 서북구 직산읍 수헐리 27,분무기,041-521-5856
식료품,(주)고려인삼제품공사,"충청남도 천안시 서북구 성환읍 율금6길 22, 외 5필지",인삼 및 각종차류,041-583-3351
식료품,(주)고전,충청남도 천안시서북구 입장면 기로리 117번지 외 6필지,반죽밀가루,041-587-1260
식료품,(주)고향식품,충청남도 천안시 서북구 성환읍 잠실길 44-6,"참골드기름(향미유), 들골드기름(향미유), 참,들기름, 뽂음참개, 들깨가루",
고무제품 및 플라스틱제품,(주)골든포우,충청남도 천안시 서북구 성환읍 가룡길 15,"부직포,플라스틱필름",041-581-6522
금속가공제품(기계 및 가구제외),(주)관수중공업,충청남도 천안시 동남구 성남면 대흥리 436-5 외 3필지,"교량용철구조물,토목공사용인양장비,콘크리트폰툰",070-4333-2040
금속가공제품(기계 및 가구제외),(주)광성금속,충청남도 천안시 동남구 성남면 용원4길 87-61,자동차 부품,041-565-2900
금속가공제품(기계 및 가구제외),(주)광성금속 제2공장,충청남도 천안시 동남구 성남면 용원4길 87-45 외 8필지,"자동차부품(도금체), 금속제받침대(도금체)",041-565-2900
금속가공제품(기계 및 가구제외),(주)광스틸,충청남도 천안시 서북구 입장면 용정리1길 87,"샌드위치판넬 지붕관, 벽판",041-581-7773
금속가공제품(기계 및 가구제외),(주)교강산업,충청남도 천안시 서북구 직산읍 남산2길 114-40,"목재덱,금속제울타리,논슬립",041-622-0000
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)구비테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 912,913호 (백석동)",EDS용 Wafer Chuck,041-622-6602
금속가공제품(기계 및 가구제외),(주)구성엠에스,충청남도 천안시서북구 직산읍 삼은리 43번지 충남테크노파크 생산관 2201호,"반응시스템, 반응기주변설비",041-587-6350
비금속광물제,(주)국광,"충청남도 천안시 동남구 풍세로 575 (신방동, 국광레미콘)",레미콘,041-572-7500
기타제품,(주)국보엔이티,충청남도 천안시 동남구 수신면 발산4길 72,정화조 뚜껑,041-555-1031
의료용물질 및 의약품,(주)국보화학,충청남도 천안시 동남구 병천면 충절로 1925-23 (케이비켐(주)) 외 2필지,산업용테이프,041-564-0031
비금속광물제,(주)국영지앤엠,충청남도 천안시 동남구 성남면 도장로 490,복층유리,041-410-0322
고무제품 및 플라스틱제품,(주)국제리프라텍,충청남도 천안시 동남구 수신면 발산4길 62-28,"방열펄프, 건축내장재 및 자동차용 내장재",041-522-6834
기타기계 및 장비,(주)굿에어,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2304호(충남테크노파크)",시스템에어컨 자동세척장비,041-571-0221
고무제품 및 플라스틱제품,(주)그린글로벌,충청남도 천안시 동남구 동면 충절로 2056,"인조잔디,탄성포장재",041-622-9120
고무제품 및 플라스틱제품,(주)그린글로벌,충청남도 천안시 동남구 동면 충절로 2036,인조잔디,041-622-9120
기타기계 및 장비,(주)그린랜드,충청남도 천안시 서북구 입장면 연곡길 330 ((주)크린에어테크놀로지),공조필터,041-588-2100
전기장비,(주)그린에너지,충청남도 천안시 동남구 북면 매송리 359-1,LED조명기구,041-522-0373
금속가공제품(기계 및 가구제외),(주)그린이엔에스,"충청남도 천안시 서북구 백석공단1로 10, M동 B103, B104호(백석동, 천안 미래에이스하이테크시티)",반도체/디스플레이 장비 및 영상저장장치,
기타기계 및 장비,(주)그린테크산업,충청남도 천안시 서북구 직산읍 금곡로 141 ((주)그린테크산업) (총 3 필지) 외 2필지,"금형, 자동차 샤시",041-583-1677
"펄프,종이 및 종이제품",(주)글로리,충청남도 천안시 동남구 동면 화복로 98 (샬롬벽지) (총 2 필지) 외 1필지,벽지,
기타기계 및 장비,(주)글로벌토크,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 2106호",통역기(PMP형),070-7728-1001
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)글로컬,충청남도 천안시 동남구 풍세면 미죽1길 75 (대성테크(주)),"PCB ASS,Y",041-566-5665
전기장비,(주)금강전기산업,충청남도 천안시 서북구 상덕매주길 187 -1(성환읍),자동화시스템(제어판넬),041-584-7571
비금속광물제,(주)금강콘트롤,충청남도 천안시 동남구 성남면 봉양1길 203-8,"배전반,전기자동제어",041-554-5916
금속가공제품(기계 및 가구제외),(주)금성코팅,충청남도 천안시 동남구 동면 화복로 3-50,"샷시,판넬",041-415-1160
전기장비,(주)금주마리너,충청남도 천안시서북구 두정동 402-1번지,어선 그물 인양장치,041-557-7758
전기장비,(주)금진식품,충청남도 천안시 동남구 성남면 성남로 230-31,"분말파우더, 양념소스",041-569-2772
식료품,(주)금진식품,충청남도 천안시 동남구 성남면 석곡3길 20-20 ((주)신일산업) 외 2필지,"분말파우더, 양념소스",041-569-2772
자동차 및 트레일러,(주)금화전자,충청남도 천안시 동남구 수신면 5산단로 167,자동차용스위치,041-557-0927
화학물질 및 화학제품:의약품제외,(주)기륭산업,충청남도 천안시 동남구 동면 화계2길 16,"제지용약품, 고체성 표면광택제",041-523-0411
금속가공제품(기계 및 가구제외),(주)기산판넬,충청남도 천안시 서북구 성거읍 모전1길 354-55,샌드위치 판넬,041-544-9754
비금속광물제,(주)까뮤이앤씨 천안공장,충청남도 천안시 동남구 풍세면 용두4길 110 (삼환까뮤(주)),콘크리트조립부재,041-566-7747
섬유제품,(주)나루솔루션,충청남도 천안시 서북구 성거읍 삼곡2길 102 본동 2층,마스크,
화학물질 및 화학제품:의약품제외,(주)나비바이오텍,"충청남도 천안시서북구 직산읍 삼은리 506 번지 충남테크노파크 번영관 2304호,2305호","유전자추출키트,동물용의약외품",041-523-8257
인쇄 및 기록매체복제업,(주)남경하이테크,충청남도 천안시 서북구 성환읍 율금리 749-3,"기능성필름, 필름포장재",031-684-2032
식료품,(주)남양,충청남도 천안시 동남구 병천면 매봉로 450-86 (유니젠) 외 1필지,건강식품,041-529-1599
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)남양전기,"충청남도 천안시 서북구 백석공단3길 66 (백석동, (주)대명)","변성기,아댑터",041-563-2819
식료품,(주)남영텍스,충청남도 천안시 동남구 성남면 세성로 195 (광천종합건설),생지원단류,
식료품,(주)내추럴넥스팜,충청남도 천안시서북구 입장면 기로리 280번지,포도식초,041-585-1031
기타기계 및 장비,(주)네오그린텍,충청남도 천안시서북구 성거읍 석문길 121-49,소각플랜트,041-561-0138
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)네오테크,충청남도 천안시 서북구 직산읍 4산단4로 27,"전자변성기, Cover Plate 외",041-584-9261
자동차 및 트레일러,(주)네오텍,충청남도 천안시 서북구 성환읍 임리길 7 ((주)네오텍) (총 14 필지),"DOOR FRAME(차종:VQ,D-100,로디우스)",041-584-7400
자동차 및 트레일러,(주)네오텍,충청남도 천안시 서북구 천안대로 1654-75 (직산읍),자동차 차체용 부품(DOOR FRAME),
고무제품 및 플라스틱제품,(주)네오텍인더스트리,충청남도 천안시동남구 병천면 가전리 산 72-1번지,"자성씨트, 일체형히터",041-556-9585
기타기계 및 장비,(주)네콘,"충청남도 천안시 서북구 직산읍 직산로 136, 영상미디어센터 연구동 110호",마이크로 터빈,041-589-0766
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)넥스콘세미텍,충청남도 천안시 서북구 성거읍 석문길 95 ((주)텍스콘텍크놀로지),반도체칩,041-620-4200
기타기계 및 장비,(주)넥스트솔루션,"충청남도 천안시 서북구 백석공단1로 42 (백석동, 대성전자(주))",반도체/디스플레이 장비 및 영상저장장치,
식료품,(주)넥스팜,충청남도 천안시서북구 입장면 기로리 280번지,포도식초,041-585-1031
식료품,(주)노걸대,충청남도 천안시 서북구 성거읍 모전3길 8,뼈해장국외,041-545-5085
화학물질 및 화학제품:의약품제외,(주)노루비케미칼,충청남도 천안시 서북구 백석공단1로 111 (백석동),도료,041-620-6204
섬유제품,(주)노박,충청남도 천안시 서북구 성환읍 와룡길 47-25,일회용마스크,
"의료, 정밀, 광학기기 및 시계",(주)녹십자메디스,충청남도 천안시 서북구 성거읍 정자1길 16 (성거읍),의료기기(혈당측정기 등),041-551-0600
화학물질 및 화학제품:의약품제외,(주)뉴앤뉴,충청남도 천안시 서북구 백석공단1로 85 (백석동),화장품,041-553-1610
금속가공제품(기계 및 가구제외),(주)다빈금속,충청남도 천안시서북구 두정동 405-7번지,프로브핀,
기타기계 및 장비,(주)다스,충청남도 천안시 동남구 성남면 대흥1길 173-64 외 1필지,자동제어부품,
식료품,(주)다영푸드,충청남도 천안시서북구 직산읍 양당리 133번지,오리훈제바베큐,041-521-5471
식료품,(주)다영푸드제2공장,충청남도 천안시 서북구 직산읍 모시2길 122 (다영푸드),오리훈제 바베큐,041-584-5513
금속가공제품(기계 및 가구제외),(주)다온디지텍,"충청남도 천안시 동남구 각원사길 69-4, 104호(상명대학교 창업보육 2관) (안서동)","경량판넬,이동식칸막이 등",070-5097-3386
전기장비,(주)다올,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 907호 (백석동)",감속기,041-906-5919
전기장비,(주)다우씨엔에스,충청남도 천안시 서북구 성거읍 소우리 188-3,"전기회로개폐, 보호장치(스위치, 센서, 누전차단기 등)",041-621-5678
기타기계 및 장비,(주)다우에프에이,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 417,418,419,420,421,422,423,424,425호, B동 508,509호 (백석동)",그리퍼 및 그리퍼UNIT,041-412-8801
자동차 및 트레일러,(주)다우테크놀로지,충청남도 천안시 동남구 성남면 세성로 25 (한종공업(주)),자동차부품,041-553-3692
식료품,(주)다우테크놀로지 제1공장,충청남도 천안시 동남구 성남면 세성로 27,B/K ENG  MT'G-RR ASSY,041-553-3692
기타기계 및 장비,(주)다원테크,충청남도 천안시 서북구 직산읍 군서리 415-3,반도체제조용 기계,041-584-4101
기타기계 및 장비,(주)다윈솔루션,충청남도 천안시 서북구 직산읍 정자1길 153-17,반도체 제조용기계,041-521-5471
자동차 및 트레일러,(주)다인,충청남도 천안시동남구 성남면 대흥리 554-3번지 외 1필지,"리스크휠,가이드레일",041-554-8611
고무제품 및 플라스틱제품,(주)다지트,충청남도 천안시 서북구 성환읍 신방로 162 외 2필지,데코필름,031-916-8918
식료품,(주)단바이오텍,충청남도 천안시서북구 성거읍 석문길 135,"동물용의약품, 보조사료",041-556-0852
금속가공제품(기계 및 가구제외),(주)달성산업개발,충청남도 천안시 서북구 성환읍 성환1로 86,"유압전도수문, frp자동문 외",041-582-2678
기타기계 및 장비,(주)대경기계,충청남도 천안시 동남구 수신면 5산단로 222-42,"컨베이어 및 액세서리, 수처리 및 공급장비, 산업용 송풍기",041-558-5560
전기장비,(주)대경트라움,충청남도 천안시 서북구 연암율금로 115 (성환읍) 2층,주방용전기기기(음식물처리기),031-702-6313
섬유제품,(주)대광월드,충청남도 천안시 서북구 백석공단5길 25 (백석동),자동차시트,041-592-5885
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)대광정보통신,충청남도 천안시 동남구 목천읍 충절로 793,"폐쇄회로카메라(CCTV),대중방송장치",041-564-1616
금속가공제품(기계 및 가구제외),(주)대광테크,충청남도 천안시 서북구 직산읍 4산단3로 52,금형,
고무제품 및 플라스틱제품,(주)대동,충청남도 천안시 동남구 수신면 장산동길 168-27 외 1필지,위생필름,041-554-3430
목재 및 나무제품(가구제외),(주)대동물류포장,충청남도 천안시 서북구 성환읍 연암율금로 47,목재박스,041-534-1794
기타기계 및 장비,(주)대동전자 천안공장,충청남도 천안시서북구 성환읍 율금리 230번지,"전자레인지 부품,밥솥용 패킹류",041-582-3988
기타기계 및 장비,(주)대륙정공,충청남도 천안시 서북구 성환읍 율금3길 15,"검사구(지그), 금형",041-555-7511
자동차 및 트레일러,(주)대림엠티아이,충청남도 천안시 동남구 수신면 수신로 262-71,"자동차단조부품,요크 샤프트외(자동차조향장치)",041-552-7002
식료품,(주)대명에프에스,충청남도 천안시 동남구 성남면 용원1길 30-19,"닭 로스, 양념 돼지고기, 양념 소고기, 조미 양념",041-583-8797
식료품,(주)대명크라샤,"충청남도 천안시 동남구 성남면 성남로 230-16, 2-2동",산업용기계,041-585-0585
전기장비,(주)대성라이팅,충청남도 천안시 동남구 성남면 대흥1길 206-20 ((주)I.S.T),"LED가로등 LED보안등, LED다운조명등, LED실내조명",
금속가공제품(기계 및 가구제외),(주)대성이앤지,충청남도 천안시 서북구 직산읍 2공단5로 117-16,부품전착,041-412-2600
금속가공제품(기계 및 가구제외),(주)대성이앤지 두정공장,충청남도 천안시서북구 두정동 403-4번지,도장및 피막처리특수목적용기계,041-561-2637
금속가공제품(기계 및 가구제외),(주)대성이앤지 직산2공장,충청남도 천안시 서북구 직산읍 2공단5로 97-30,전착도장부품,041-412-2615
고무제품 및 플라스틱제품,(주)대성파인텍,충청남도 천안시 서북구 성거읍 모전리 33-36번지,라미네이팅,055-289-4885
자동차 및 트레일러,(주)대성하이테크,충청남도 천안시서북구 입장면 용정도하길 155,"자동차부품, 하네스부품",041-410-4068
비금속광물제,(주)대승프론티어,충청남도 천안시 동남구 수신면 발산리 298번지 외 8필지 외 8필지,"가정용유리제품,포장용유리용기",070-7439-3783
식료품,(주)대신제과 천안공장,충청남도 천안시 동남구 목천읍 성남로 103,"호도과자,팥앙금",041-555-4180
기타기계 및 장비,(주)대신테크,충청남도 천안시 서북구 입장면 위례산길 84,금형품,041-587-8807
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)대아테크,충청남도 천안시 서북구 성환읍 신방로 302-12 ((주)대아테크) 외 1필지,"컨넥터, 산업용 오픈 부품",041-588-9990
목재 및 나무제품(가구제외),(주)대영수출포장,충청남도 천안시 서북구 입장면 독정4길 8,목재 상자,041-584-7406
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)대영오앤이,충청남도 천안시동남구 성남면 화성리 444-26번지 진입도로 외 10필지,LCD BLU,041-629-4500
목재 및 나무제품(가구제외),(주)대영토건,충청남도 천안시 동남구 풍세면 태학산로 56,거적(볏집),041-554-6118
식료품,(주)대영팜피코,충청남도 천안시 서북구 직산읍 성진로 162,단미사료,041-521-5852
"펄프,종이 및 종이제품",(주)대우포장,충청남도 천안시 동남구 목천읍 성남로 97-50 (태우포장),골판지상자,041-557-3133
산업용 기계 및 장비수리업,(주)대원,충청남도 천안시 서북구 직산읍 군동삼곡길 137 ((주)대원),"FRT.BVNPE,",041-567-9774
음료,(주)대정,충청남도 천안시 동남구 성남면 대정1길 19-11 ((주)대정),"먹는샘물(생수),물통",041-554-0742
자동차 및 트레일러,(주)대정고분자산업,충청남도 천안시 동남구 목천읍 진주골길 33,"TFT-LCD용 정밀박판유리, 자동차 에어컨 콤프레샤 부품, 자동차용 고무부품",041-560-6500
자동차 및 트레일러,(주)대정피드텍,충청남도 천안시 동남구 성남면 성남신덕1길 343 (대정산업(주)),단미사료,041-564-0558
화학물질 및 화학제품:의약품제외,(주)대지개발,충청남도 천안시 서북구 성환읍 와룡길 97-71,유기질비료,041-581-4432
고무제품 및 플라스틱제품,(주)대진,충청남도 천안시 동남구 북면 양곡1길 38-11,플라스틱 시트,041-415-0301
비금속광물제,(주)대진글라스,충청남도 천안시 동남구 성남면 신사운전길 45-15 (대진글라스공장),"복층유리, 강화유리",041-568-3020
고무제품 및 플라스틱제품,(주)대진테크(지점),충청남도 천안시 서북구 입장면 외유리1길 50,"쓰레기통,분리수거함",041-582-8887
식료품,(주)대창,충청남도 천안시 서북구 성환읍 성환21길 33 (미원청정원),젓갈,041-581-7396
자동차 및 트레일러,(주)대창기업,충청남도 천안시서북구 성환읍 수향리 432-21 번지,의자몸체부품(고속철도 및 자동차),041-588-6866
기타기계 및 장비,(주)대풍환경개발,충청남도 천안시 서북구 입장면 신두리 91-11번지 외 1필지,밸브류,02-456-7456
기타제품,(주)대한터링협회,충청남도 천안시 동남구 백석대학로 1 (안서동) 창업보육센터 302호,체육놀이 시설물 장비,
자동차 및 트레일러,(주)대화정공,충청남도 천안시 서북구 직산읍 군수1길 206-17 ((주)대화정공) 외 11필지,자동차부품,041-588-5600
기타기계 및 장비,(주)대흥,충청남도 천안시서북구 두정동 488번지,자동차 정비 외,041-565-5001
고무제품 및 플라스틱제품,(주)더경엔터프라이즈,충청남도 천안시 서북구 입장면 성진로 1126 (대한공조) 외 1필지,"자동차부품,전력량계부품",042-934-1703
전기장비,(주)더블유비테크,충청남도 천안시 동남구 목천읍 성남로 111-32,배전반등,041-523-8796
"의료, 정밀, 광학기기 및 시계",(주)더블유아이,충청남도 천안시 서북구 직산읍 4산단7로 17-15,반도체부품 가공,041-582-5700
전기장비,(주)더이엔지,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 207, 436, 440호 (백석동)",반도체 장비 분전반 외,041-551-8581
금속가공제품(기계 및 가구제외),(주)더존테크,"충청남도 천안시 서북구 성환읍 안궁3길 16, 6동","돌망태,용접철망",041-581-7600
금속가공제품(기계 및 가구제외),(주)더존테크,충청남도 천안시 서북구 입장면 삼사로 2028-13,"돌망태,용접철망",041-581-7600
