상호,운영시간,업종,도로명주소,지번주소,전화번호,위도,경도
다모아,10:00~21:00,생활서비스,충청남도 천안시 서북구 양지22길 37,충청남도 천안시 서북구 성정동 726-6,,36.81329377,127.1383801
공실2,공실,기타,충청남도 천안시 서북구 양지22길 35,충청남도 천안시 서북구 성정동 726-7,,36.8132939,127.138268
공실3,공실,기타,충청남도 천안시 서북구 양지22길 35,충청남도 천안시 서북구 성정동 726-7,,36.8132962,127.1382288
공실4,공실,기타,충청남도 천안시 서북구 양지22길 35,충청남도 천안시 서북구 성정동 726-7,,36.81329625,127.138184
공실5,공실,기타,충청남도 천안시 서북구 양지22길 35,충청남도 천안시 서북구 성정동 726-7,,36.8132963,127.1381476
복피부바디관리,09:00~20:00,생활서비스,충청남도 천안시 서북구 양지22길 33-1,충청남도 천안시 서북구 성정동 726-8,,36.81331441,127.138072
착한언니,11:00~19:00,의류/잡화,충청남도 천안시 서북구 양지22길 38,충청남도 천안시 서북구 성정동 737-38,,36.81319027,127.1382707
올레미용실,10:00~19:00,생활서비스,충청남도 천안시 서북구 양지22길 38,충청남도 천안시 서북구 성정동 737-38,,36.81319243,127.1383547
코다리찜성정시장,10:00~20:00,식당/음식,충청남도 천안시 서북구 양지22길 38,충청남도 천안시 서북구 성정동 737-38,,36.81319247,127.1383155
전국닭유통,08:00~20:00,축산물,충청남도 천안시 서북구 양지7길 27,충청남도 천안시 서북구 성정동 736-7,041-578-4405,36.813172,127.1384864
수아네신발가게,08:00~20:00,의류/잡화,충청남도 천안시 서북구 양지7길 27,충청남도 천안시 서북구 성정동 737-6,,36.81314721,127.1384919
석이네옷가게,08:00~20:00,의류/잡화,충청남도 천안시 서북구 양지7길 27,충청남도 천안시 서북구 성정동 737-6,,36.81312693,127.1384947
입큰아구찜&알곤이찜 천안점,"월~금 11:00~24:00 , 토~일 10:00~24:00",식당/음식,충청남도 천안시 서북구 양지21길 29,충청남도 천안시 서북구 성정동 737-38,041-579-7878,36.81267795,127.1390767
곱떡치떡 성정두정점,05:00~14:00,식당/음식,충청남도 천안시 서북구 양지21길 29,충청남도 천안시 서북구 성정동 737-38,041-576-5214,36.8126735,127.1390318
시골전집,14:00~02:00,식당/음식,충청남도 천안시 서북구 양지21길 29,충청남도 천안시 서북구 성정동 737-38,041-577-7999,36.81267115,127.1391187
오단지시장정육점,08:00~21:00,축산물,충청남도 천안시 서북구 양지7길 25,충청남도 천안시 서북구 성정동 737-7,041-573-8041,36.81304357,127.1385029
벽사진경,10:00~19:00,기타,충청남도 천안시 서북구 양지7길 25-3,충청남도 천안시 서북구 성정동 737-8,,36.81297172,127.1383011
소라맛집,화~일 10:00~20:00,식당/음식,충청남도 천안시 서북구 양지7길 25,충청남도 천안시 서북구 성정동 737-7,,36.81295797,127.1384972
명동의류,09:00~21:00,의류/잡화,충청남도 천안시 서북구 양지7길 25-1,충청남도 천안시 서북구 성정동 737-35,041-576-2167,36.81291741,127.1385055
동대문7호점,11:00~20:00,의류/잡화,충청남도 천안시 서북구 양지7길 23,충청남도 천안시 서북구 성정동 737-36,,36.81286109,127.1385054
꽃이야기,09:00~20:00,기타,충청남도 천안시 서북구 양지7길 23,충청남도 천안시 서북구 성정동 737-36,041-572-5093,36.81281603,127.1385109
다미찬반찬,09:00~21:00,식당/음식,충청남도 천안시 서북구 양지7길 23,충청남도 천안시 서북구 성정동 737-36,041-579-0065,36.81274394,127.1385136
중국식품점,09:00~21:00,마트/식품,충청남도 천안시 서북구 양지21길 25,충청남도 천안시 서북구 성정동 737-10,,36.81268988,127.1385051
사라헤어라인,09:00~20:00,생활서비스,충청남도 천안시 서북구 양지21길 23,충청남도 천안시 서북구 성정동 737-11,041-575-5093,36.81268091,127.1384743
섹시한호박,10:00~20:00,생활서비스,충청남도 천안시 서북구 양지21길 23,충청남도 천안시 서북구 성정동 737-11,041-577-2242,36.8126992,127.138239
은자네집,10:00~22:00,식당/음식,충청남도 천안시 서북구 양지21길 23,충청남도 천안시 서북구 성정동 737-11,,36.81269689,127.1382894
보성세탁소,08:30~20:00,생활서비스,충청남도 천안시 서북구 양지21길 23,충청남도 천안시 서북구 성정동 737-11,041-592-1717,36.81268096,127.1384266
정선PC,미영업,기타,충청남도 천안시 서북구 양지21길 24,충청남도 천안시 서북구 성정동 236-7,,36.81256616,127.1383536
공실6,폐업,기타,충청남도 천안시 서북구 양지21길 24,충청남도 천안시 서북구 성정동 236-7,,36.81257749,127.138292
알곡떡방앗간,08:00~18:30,마트/식품,충청남도 천안시 서북구 양지21길 24,충청남도 천안시 서북구 성정동 236-7,041-572-9940,36.81258432,127.1382332
일미식당,10:00~20:00,식당/음식,충청남도 천안시 서북구 양지7길 19,충청남도 천안시 서북구 성정동 236-4,041-577-8885,36.81234066,127.1385437
할매보리밥칼국수,10:30~19:00,식당/음식,충청남도 천안시 서북구 양지7길 19,충청남도 천안시 서북구 성정동 236-4,,36.81239022,127.138541
문연사,09:00~18:00,기타,충청남도 천안시 서북구 양지7길 19,충청남도 천안시 서북구 성정동 236-4,041-576-3675,36.81242626,127.1385439
어장어,10:00~22:00,식당/음식,충청남도 천안시 서북구 양지7길 19,충청남도 천안시 서북구 성정동 236-4,041-577-4960,36.81245104,127.1385467
민이네구제샵,10:00~18:00,의류/잡화,충청남도 천안시 서북구 양지7길 19,충청남도 천안시 서북구 성정동 236-4,,36.81248258,127.1385468
공실7,공실,기타,충청남도 천안시 서북구 양지7길 19,충청남도 천안시 서북구 성정동 236-4,,36.81250737,127.1385384
소나라정육점,07:00~20:00,축산물,충청남도 천안시 서북구 양지7길 19,충청남도 천안시 서북구 성정동 236-4,041-573-4322,36.8125885,127.1385105
시장쌀상회,08:00~21:00,농산물/청과,충청남도 천안시 서북구 양지7길 19,충청남도 천안시 서북구 성정동 236-4,041-575-0801,36.81256145,127.1385245
월명산건강원,09:00~18:00,의료/건강,충청남도 천안시 서북구 양지7길 20,충청남도 천안시 서북구 성정동 738-1,041-574-6764,36.81241932,127.1387036
다온반찬,08:00~20:00,식당/음식,충청남도 천안시 서북구 양지7길 20,충청남도 천안시 서북구 성정동 738-1,,36.81255899,127.1387038
농가마트,08:00~23:00,마트/식품,충청남도 천안시 서북구 양지7길 22,충청남도 천안시 서북구 성정동 736-5,041-574-3412,36.81270767,127.1387041
복지혼수이불,10:00~20:00,침구/주단,충청남도 천안시 서북구 양지7길 22,충청남도 천안시 서북구 성정동 736-5,041-572-7801,36.81285863,127.1386847
일단와봐유,12:00~24:00,식당/음식,충청남도 천안시 서북구 양지7길 26,충청남도 천안시 서북구 성정동 736-9,041-572-5093,36.81295103,127.1386597
오단지떡방앗간,06:00~18:00,마트/식품,충청남도 천안시 서북구 양지7길 26,충청남도 천안시 서북구 성정동 736-9,041-572-9416,36.81298933,127.1386569
다이소,10:00~22:00,생활용품,충청남도 천안시 서북구 양지22길 40,충청남도 천안시 서북구 성정동 736-1,041-572-7009,36.81313575,127.1386628
오단지정육점,08:00~21:00,축산물,충청남도 천안시 서북구 양지7길 30,충청남도 천안시 서북구 성정동 727-5,041-573-3184,36.81327545,127.1386351
뚝배기순대국밥,08:00~20:00,식당/음식,충청남도 천안시 서북구 양지22길 41,충청남도 천안시 서북구 성정동 727-10,041-573-3224,36.81326623,127.1388171
공실8,폐업,기타,충청남도 천안시 서북구 양지22길 41,충청남도 천안시 서북구 성정동 727-10,,36.81327066,127.1388844
찹쌀꿀호떡,10:00~22:00,식당/음식,충청남도 천안시 서북구 양지7길 30,충청남도 천안시 서북구 성정동 727-5,,36.81331826,127.1386295
영아네,10:00~20:00,의류/잡화,충청남도 천안시 서북구 양지7길 30,충청남도 천안시 서북구 성정동 727-5,041-572-1460,36.81332728,127.1386267
오단지순대,09:00~20:00,식당/음식,충청남도 천안시 서북구 양지7길 30,충청남도 천안시 서북구 성정동 727-5,041-573-5213,36.81338584,127.1386324
참건강한이야기,09:30~19:30,식당/음식,충청남도 천안시 서북구 양지7길 30,충청남도 천안시 서북구 성정동 727-5,041-576-1041,36.81338587,127.13861
옛맷돌즉석두부,08:00~20:00,식당/음식,충청남도 천안시 서북구 양지7길 30,충청남도 천안시 서북구 성정동 727-5,041-576-1331,36.8134309,127.1386325
맛두락,09:00~19:00,식당/음식,충청남도 천안시 서북구 양지7길 30,충청남도 천안시 서북구 성정동 727-5,041-574-5568,36.81353454,127.1386215
픽미픽미 주공5단지점,00:00~24:00,마트/식품,충청남도 천안시 서북구 양지7길 30,충청남도 천안시 서북구 성정동 727-5,,36.81357507,127.1386384
공실9,폐업,기타,충청남도 천안시 서북구 양지7길 30,충청남도 천안시 서북구 성정동 727-5,,36.81360212,127.1386272
TRY,09:00~20:00,의류/잡화,충청남도 천안시 서북구 성정로 78,충청남도 천안시 서북구 성정동 727-1,,36.81364492,127.1386217
보석천지,09:30~19:30,기타,충청남도 천안시 서북구 성정로 78,충청남도 천안시 서북구 성정동 727-1,041-574-7355,36.81364037,127.1386637
참살이,07:00~23:00,식당/음식,충청남도 천안시 서북구 성정로 78,충청남도 천안시 서북구 성정동 727-1,041-904-4343,36.81364932,127.1387198
스타텔레콤,10:30~19:30,전기/가전,충청남도 천안시 서북구 성정로 78,충청남도 천안시 서북구 성정동 727-1,041-577-1110,36.81365153,127.1387562
컴세상,10:00~18:00,전기/가전,충청남도 천안시 서북구 성정로 78,충청남도 천안시 서북구 성정동 727-1,041-575-1399,36.81363793,127.1388234
한양종합장식,08:00~18:30,기타,충청남도 천안시 서북구 성정로 78,충청남도 천안시 서북구 성정동 727-1,041-573-4108,36.81363789,127.1388626
성정열쇠 도장,09:00~21:00,생활서비스,충청남도 천안시 서북구 성정로 78,충청남도 천안시 서북구 성정동 727-1,041-576-1515,36.81362657,127.1389047
숯불구이 고기집,11:00~24:00,식당/음식,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-552-6981,36.81357684,127.1390475
김밥나라,00:00~24:00,식당/음식,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-577-3891,36.81357684,127.1390475
오단지 약국,09:00~19:00,의료/건강,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-574-2333,36.81357684,127.1390475
사랑의 메디칼,09:00~19:00,의료/건강,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-578-2175,36.81357684,127.1390475
인케어 방문요양,09:00~19:00,의료/건강,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-571-8291,36.81357684,127.1390475
SS당구클럽,12:00~24:00,기타,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,,36.81357684,127.1390475
농협,09:00~16:00,생활서비스,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-573-0110,36.81358549,127.1393557
천안 튼튼정형외과,09:00~19:00,의료/건강,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-577-6200,36.81355847,127.1393472
나나헤어샵,10:00~20:00,생활서비스,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,,36.81358563,127.1392408
성정 윌 내과,"월~금 09:00~19:00, 토 09:00~13:00",의료/건강,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-588-3200,36.8135787,127.1393837
크레마스토리,10:00~22:00,식당/음식,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-573-7778,36.81357884,127.1392716
한덕희 한의원,"월~금 10:00~18:30, 토 10:00~13:30",의료/건강,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-575-8577,36.8135787,127.1393837
후생 치과,"월~금 09:30~19:00, 수 14:00~19:00, 토 09:30~13:00",의료/건강,충청남도 천안시 서북구 성정로 82,충청남도 천안시 서북구 성정동 727-2,041-574-4114,36.8135787,127.1393837
KJ 헤어크리닉,09:00~21:00,생활서비스,충청남도 천안시 서북구 성정로 86,충청남도 천안시 서북구 성정동 727-4,041-573-4493,36.81360556,127.1395322
5단지세탁소,09:00~20:00,생활서비스,충청남도 천안시 서북구 성정로 86,충청남도 천안시 서북구 성정동 727-4,041-572-4640,36.81360099,127.1395882
오브제,12:00~21:00,의류/잡화,충청남도 천안시 서북구 성정로 86,충청남도 천안시 서북구 성정동 727-4,041-571-0567,36.81359416,127.1396471
포크빌축산물직매장,09:00~20:30,축산물,충청남도 천안시 서북구 성정로 86,충청남도 천안시 서북구 성정동 727-4,041-579-6908,36.81360312,127.1396919
5단지구두종합병원,09:00~18:00,생활서비스,충청남도 천안시 서북구 성정로 86,충청남도 천안시 서북구 성정동 727-4,,36.81357374,127.1397731
기가찬참숯민물장어,11:30~23:00,식당/음식,충청남도 천안시 서북구 양지22길 49,충청남도 천안시 서북구 성정동 727-6,041-575-6009,36.81328779,127.1396465
공실10,공실,기타,충청남도 천안시 서북구 양지22길 49,충청남도 천안시 서북구 성정동 727-6,,36.81336889,127.1396439
덕꾼 천안점,17:00~24:00,식당/음식,충청남도 천안시 서북구 양지7길 10,충청남도 천안시 서북구 성정동 727-4,041-579-5279,36.81151811,127.1387888
동네마당,10:00~24:00,식당/음식,충청남도 천안시 서북구 양지7길 10,충청남도 천안시 서북구 성정동 739-7,,36.81154966,127.1387832
